YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,BLACK,26,0,PBHP,,0,,
2010-2012,Placer,120,Foresthill,Frontier,ASIAN,15,0,ABR,,0,,
2010-2012,Placer,120,Foresthill,Frontier,ASIAN,15,0,PRB,,0,,
2010-2012,Placer,120,Foresthill,Frontier,ASIAN,15,0,PBHP,,0,,
2010-2012,Placer,120,Foresthill,Frontier,HISP,95,0,ABR,,0,,
2010-2012,Placer,120,Foresthill,Frontier,HISP,95,0,PRB,,0,,
2010-2012,Placer,120,Foresthill,Frontier,HISP,95,0,PBHP,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Plumas,122,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,ASIAN,3,0,ABR,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,ASIAN,3,0,PRB,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,ASIAN,3,0,PBHP,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,BLACK,8,0,ABR,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,BLACK,8,0,PRB,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,BLACK,8,0,PBHP,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,HISP,84,0,ABR,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,HISP,84,0,PRB,,0,,
2010-2012,Plumas,123.1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,HISP,84,0,PBHP,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,ASIAN,0,0,ABR,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,ASIAN,0,0,PRB,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,ASIAN,0,0,PBHP,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,BLACK,0,0,ABR,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,BLACK,0,0,PRB,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,BLACK,0,0,PBHP,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,HISP,9,0,ABR,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,HISP,9,0,PRB,,0,,
2010-2012,Plumas,123.2,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,HISP,9,0,PBHP,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,ASIAN,8,0,ABR,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,ASIAN,8,0,PRB,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,ASIAN,8,0,PBHP,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Plumas,124,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,ASIAN,3,0,ABR,,0,,
